"ID","Cond","field","lab","time","b_copies_per_g_soil","f_copies_per_g_soil","B_F_ratio","treat","f_mean_constant_w","b_mean_constant_w","f_proportional_diff","b_proportional_diff","mean_BF_ratio","proportional_diff_BF","log_f_copies_per_g_soil","log_b_copies_per_g_soil"
"72","Current cycle_drw 4","Ambient","cycle_drw","4",293884183.277005,27208168.7442295,10.8013216927484,"b) ambient d/r",21799550.0577526,259315038.731335,0.24810689542436,0.133309447515249,12.9208477187408,-0.164039238920691,17.1190278076578,19.4986963132585
"73","Future cycle_drw 2","Future","cycle_drw","2",53616437.537348,8639382.8878797,6.20604946362166,"d) future d/r",36739730.6536921,387205201.205491,-0.764849041237827,-0.861529655669854,10.0003152051034,-0.379414614805883,15.9718417132154,17.7973662495002
"78","Future cycle_drw 1","Future","cycle_drw","1",489172517.934004,28123298.6421725,17.3938528391709,"d) future d/r",22152440.5009686,292251828.018313,0.26953500409776,0.673804818436765,13.3140455920578,0.306428817514856,17.1521089239363,20.0082257826318
"79","Future constant_w 1","Future","constant_w","1",324207007.056323,27196560.7275751,11.9208825815833,"c) future wet",22152440.5009686,292251828.018313,,,13.3140455920578,,17.1186010794324,19.5968927804077
"80","Future cycle_drw 1","Future","cycle_drw","1",331759014.750458,27796905.8723577,11.9351058809884,"d) future d/r",22152440.5009686,292251828.018313,0.254801062264105,0.13518200040025,13.3140455920578,-0.103570301118088,17.1404352729111,19.6199194041321
"81","Future constant_w 1","Future","constant_w","1",366219265.734714,19913565.6976968,18.3904415358959,"c) future wet",22152440.5009686,292251828.018313,,,13.3140455920578,,16.806911750799,19.7187427986917
"83","Future constant_w 2","Future","constant_w","2",648394781.525685,51698576.4492634,12.5418304730695,"c) future wet",36739730.6536921,387205201.205491,,,10.0003152051034,,17.7609408042691,20.2900102995603
"84","Future cycle_drw 1","Future","cycle_drw","1",459808569.266077,20842267.8952415,22.0613501168486,"d) future d/r",22152440.5009686,292251828.018313,-0.0591434883063911,0.573330002361064,13.3140455920578,0.656998240265069,16.8524935930764,19.946320807062
"85","Future constant_w 3","Future","constant_w","3",445973713.13226,19377174.0108388,23.015415606156,"c) future wet",14546123.7415989,332410080.235092,,,30.465591462124,,16.77960633392,19.915770569082
"86","Future cycle_drw 4","Future","cycle_drw","4",761394898.881459,52184856.4930448,14.5903419123695,"d) future d/r",37188901.0727335,429337336.123876,0.40323739039727,0.773418789419642,15.4167399775254,-0.0536039439181471,17.7703029052669,20.4506627022336
"87","Future cycle_drw 2","Future","cycle_drw","2",402147691.460933,47578829.8763836,8.45224005100101,"d) future d/r",36739730.6536921,387205201.205491,0.295023916338979,0.0385906238059839,10.0003152051034,-0.15480263595215,17.6778984697747,19.8123299708054
"89","Future cycle_drw 4","Future","cycle_drw","4",237797889.155353,20006574.9683934,11.8859869583389,"d) future d/r",37188901.0727335,429337336.123876,-0.462028336646333,-0.446128092883259,15.4167399775254,-0.229020728398721,16.811571525912,19.2869316656271
"9","Current cycle_drw 2","Ambient","cycle_drw","2",298547965.655784,25319727.7396705,11.7911206915557,"b) ambient d/r",21065360.9187346,229852155.85233,0.201960309977517,0.298869547465063,15.3666720226595,-0.232682218103658,17.0470944024048,19.5144411668519
"91","Future cycle_drw 2","Future","cycle_drw","2",372684050.411443,19363732.6901747,19.246498408881,"d) future d/r",36739730.6536921,387205201.205491,-0.472948430877276,-0.0375024683264576,10.0003152051034,0.92458917685505,16.7789124254729,19.7362415688234
"92","Future constant_w 3","Future","constant_w","3",366659213.13596,20612538.2248744,17.7881641327165,"c) future wet",14546123.7415989,332410080.235092,,,30.465591462124,,16.8414101002994,19.719943400065
"95","Future cycle_drw 4","Future","cycle_drw","4",321398439.27772,33498559.8730684,9.59439571419049,"d) future d/r",37188901.0727335,429337336.123876,-0.0992323272055726,-0.251408130074698,15.4167399775254,-0.377663777933776,17.3270130070076,19.5881921552438
"96","Future cycle_drw 3","Future","cycle_drw","3",282165358.74739,14861797.0334565,18.9859515718178,"d) future d/r",14546123.7415989,332410080.235092,0.0217015403873401,-0.151152821395089,30.465591462124,-0.37680672980133,16.5143045208613,19.4580038355865
"97","Future constant_w 2","Future","constant_w","2",294465780.303965,30566503.9626417,9.63361006753863,"c) future wet",36739730.6536921,387205201.205491,,,10.0003152051034,,17.235415325621,19.5006733583928
"98","Future constant_w 4","Future","constant_w","4",353824406.568448,39926279.6273548,8.86194280736419,"c) future wet",37188901.0727335,429337336.123876,,,15.4167399775254,,17.5025453023308,19.6843113213933
"118","Future constant_w 0","Future","cycle_drw","0",275843023.646098,39416173.2670535,6.99821927859916,"d) future d/r",27841786.6531484,280894865.784477,0.415719966469759,-0.0179848147963468,16.0671563361557,-0.564439460712088,17.4896867790521,19.4353425069736
"134","Future constant_w 0","Future","cycle_drw","0",231582146.519011,7637307.67718979,30.3224848739135,"d) future d/r",27841786.6531484,280894865.784477,-0.72568902375645,-0.175555787136752,16.0671563361557,0.887234071761612,15.8485557007623,19.2604452131227
"137","Future constant_w 0","Future","cycle_drw","0",91752994.7568538,7289615.17760708,12.5868091142464,"d) future d/r",27841786.6531484,280894865.784477,-0.738177177046116,-0.673354674886605,16.0671563361557,-0.216612519919128,15.8019613148833,18.334610684768
"16","Current constant_w 0","Ambient","cycle_drw","0",79021900.9567916,6033297.8348763,13.0976297075862,"b) ambient d/r",19504838.5519208,259095369.147995,-0.690676863650217,-0.6950084394922,14.3620946373008,-0.0880418185262865,15.6128043238285,18.1852355993121
"41","Current constant_w 0","Ambient","cycle_drw","0",178732163.29589,25363424.4334607,7.04684668132187,"b) ambient d/r",19504838.5519208,259095369.147995,0.300365771597886,-0.310168437654327,14.3620946373008,-0.509344085296583,17.0488187112824,19.0013989488022
"6","Current constant_w 0","Ambient","cycle_drw","0",294961914.309012,13720902.1239395,21.4972683023792,"b) ambient d/r",19504838.5519208,259095369.147995,-0.296538544145587,0.138429896601239,14.3620946373008,0.496805921787143,16.4344309305741,19.5023568019322
"66","Current constant_w 0","Ambient","cycle_drw","0",298274230.726838,16898653.471415,17.6507691119523,"b) ambient d/r",19504838.5519208,259095369.147995,-0.133617362356947,0.15121405568798,14.3620946373008,0.228982927470079,16.6427445004713,19.5135238586493
"68","Current constant_w 0","Ambient","cycle_drw","0",444486636.451444,35507914.8959125,12.5179593832645,"b) ambient d/r",19504838.5519208,259095369.147995,0.820466998554865,0.715532924857308,14.3620946373008,-0.128402945434352,17.3852661844094,19.9124305482401
"75","Future constant_w 0","Future","cycle_drw","0",346053506.715147,14476855.3519441,23.9039140961422,"d) future d/r",27841786.6531484,280894865.784477,-0.480031381164722,0.231968073708632,16.0671563361557,0.487750140474549,16.4880617495096,19.6621039647513
"77","Future constant_w 0","Future","cycle_drw","0",459242657.285274,70388981.7919477,6.52435431787721,"d) future d/r",27841786.6531484,280894865.784477,1.52817761549753,0.634927203111071,16.0671563361557,-0.593932231604945,18.0695473002424,19.9450892934402
"118","Future constant_w 0","Future","constant_w","0",275843023.646098,39416173.2670535,6.99821927859916,"c) future wet",27841786.6531484,280894865.784477,,,16.0671563361557,,17.4896867790521,19.4353425069736
"134","Future constant_w 0","Future","constant_w","0",231582146.519011,7637307.67718979,30.3224848739135,"c) future wet",27841786.6531484,280894865.784477,,,16.0671563361557,,15.8485557007623,19.2604452131227
"137","Future constant_w 0","Future","constant_w","0",91752994.7568538,7289615.17760708,12.5868091142464,"c) future wet",27841786.6531484,280894865.784477,,,16.0671563361557,,15.8019613148833,18.334610684768
"16","Current constant_w 0","Ambient","constant_w","0",79021900.9567916,6033297.8348763,13.0976297075862,"a) ambient wet",19504838.5519208,259095369.147995,,,14.3620946373008,,15.6128043238285,18.1852355993121
"41","Current constant_w 0","Ambient","constant_w","0",178732163.29589,25363424.4334607,7.04684668132187,"a) ambient wet",19504838.5519208,259095369.147995,,,14.3620946373008,,17.0488187112824,19.0013989488022
"6","Current constant_w 0","Ambient","constant_w","0",294961914.309012,13720902.1239395,21.4972683023792,"a) ambient wet",19504838.5519208,259095369.147995,,,14.3620946373008,,16.4344309305741,19.5023568019322
"66","Current constant_w 0","Ambient","constant_w","0",298274230.726838,16898653.471415,17.6507691119523,"a) ambient wet",19504838.5519208,259095369.147995,,,14.3620946373008,,16.6427445004713,19.5135238586493
"68","Current constant_w 0","Ambient","constant_w","0",444486636.451444,35507914.8959125,12.5179593832645,"a) ambient wet",19504838.5519208,259095369.147995,,,14.3620946373008,,17.3852661844094,19.9124305482401
"75","Future constant_w 0","Future","constant_w","0",346053506.715147,14476855.3519441,23.9039140961422,"c) future wet",27841786.6531484,280894865.784477,,,16.0671563361557,,16.4880617495096,19.6621039647513
"77","Future constant_w 0","Future","constant_w","0",459242657.285274,70388981.7919477,6.52435431787721,"c) future wet",27841786.6531484,280894865.784477,,,16.0671563361557,,18.0695473002424,19.9450892934402
